Names Date,AAPL,AXP,BA,CAT,COST,CSCO,CVX,DD,DIS,F,GE,GOOG,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MSFT,T,TGT,VZ,WMT,XOM,YHOO,
11/15/2011,0.0252332958,0.0101112235,0.0000000000,0.0055941158,0.0123427202,0.0095036959,-0.0273146840,0.0010362694,0.0091362126,-0.0136116152,0.0062111801,0.0058075041,-0.0047058824,0.0336749634,0.0074725910,0.0288266342,0.0012324757,0.0046082949,0.0030978020,0.0043589198,-0.0007473842,0.0020554985,0.0100664767,0.0064864865,-0.0242825607,0.0016464032,-0.0043750000,
11/16/2011,-0.0104415814,-0.0366366366,-0.0235501913,-0.0135984341,-0.0182291667,-0.0167364017,-0.0214970466,-0.0248447205,-0.0252400549,-0.0285188592,-0.0154320988,-0.0082555307,-0.0060415025,-0.0109773371,-0.0112847682,-0.0157853197,-0.0090783197,-0.0376146789,-0.0145588235,-0.0139726897,-0.0250560957,-0.0160683761,-0.0045129748,-0.0158431794,-0.0135746606,-0.0106208117,-0.0131826742,
11/17/2011,-0.0191282849,-0.0295095594,-0.0037684655,-0.0202610966,-0.0115746323,-0.0170212766,-0.0095992083,-0.0218683652,-0.0106951872,-0.0369318182,-0.0194357367,-0.0173352258,-0.0058139535,-0.0229144289,-0.0047690494,-0.0240577386,-0.0071428571,-0.0311407690,-0.0058200269,-0.0092324208,-0.0203298811,-0.0059068798,-0.0056667926,0.0013642565,0.0008821454,-0.0049840256,-0.0241730280,
11/18/2011,-0.0065446067,0.0038543897,0.0207293085,0.0012791813,-0.0031715052,-0.0032467532,-0.0219824141,0.0073800738,0.0136557610,-0.0068829892,0.0006393862,-0.0099688785,0.0069112174,0.0256504214,-0.0026381845,-0.0020542317,-0.0014075696,0.0042636930,0.0115580907,0.0048759346,-0.0093970243,0.0010485844,0.0068389058,-0.0065395095,0.0088136788,0.0005137426,0.0026075619,
11/21/2011,-0.0158158372,-0.0174914676,-0.0281648384,-0.0299158948,-0.0052618698,-0.0228013029,-0.0226808337,-0.0200387847,-0.0364861072,-0.0049504950,-0.0261980831,-0.0234332975,-0.0216473073,-0.0403715613,-0.0202980447,-0.0296418279,-0.0142521535,-0.0231874592,-0.0213681555,-0.0049601035,-0.0118577075,-0.0097765363,-0.0086792453,-0.0106966539,-0.0099598113,-0.0127086008,-0.0253576073,
11/22/2011,0.0203246519,-0.0013026487,-0.0184563758,-0.0124012291,0.0063968508,-0.0044444444,0.0079448045,-0.0017590150,-0.0090300029,0.0039800995,-0.0164041995,-0.0016180673,0.0010793308,-0.0078183172,-0.0009367423,-0.0140008485,-0.0006355259,-0.0167168171,0.0003032600,0.0040095362,-0.0084000000,-0.0098730606,0.0028549676,0.0033268644,0.0033533357,-0.0114419451,-0.0013342228,
11/23/2011,-0.0252849054,-0.0195652174,-0.0309246309,-0.0247805312,-0.0128346168,-0.0287388393,-0.0276913503,-0.0290748899,-0.0182245738,-0.0257680872,-0.0173448966,-0.0170517414,-0.0156334232,-0.0326454034,-0.0185317964,-0.0232358003,-0.0144674086,-0.0350221013,-0.0166742459,-0.0084187804,-0.0129084308,-0.0188746439,-0.0220155627,-0.0232108317,-0.0036939314,-0.0190714192,-0.0020040080,
11/25/2011,-0.0093190008,-0.0022172949,0.0067350866,-0.0118505014,0.0007429421,0.0054582017,-0.0155733333,-0.0049909256,0.0032934132,-0.0081383520,-0.0020366599,-0.0124712602,-0.0013691128,-0.0151280062,-0.0050014049,0.0013215859,-0.0116147766,0.0035236082,-0.0020040080,0.0025035376,-0.0069472824,-0.0050816697,-0.0062099748,0.0000000000,0.0044138418,-0.0091177259,0.0107095047,
11/28/2011,0.0345187712,0.0224444444,0.0352022937,0.0548892989,0.0174461767,0.0291428571,0.0377072272,0.0262197902,0.0167114294,0.0256410256,0.0068027211,0.0447424512,0.0227584316,0.0448995668,0.0290862420,0.0321161461,0.0179533214,0.0238764045,0.0066419524,0.0180238871,0.0234567901,0.0197008391,0.0082015231,0.0254596888,0.0063280014,0.0262516915,0.0165562914,
11/29/2011,-0.0077634532,-0.0099978266,0.0041544853,-0.0102754700,0.0155660951,-0.0183231538,0.0169155268,0.0015552100,-0.0020545935,-0.0010000000,0.0081081081,-0.0089427056,0.0445040214,0.0139464757,-0.0069700342,0.0051150895,0.0065736732,-0.0205761317,0.0156513733,-0.0031996587,-0.0012062726,0.0039355993,0.0118148363,0.0104827586,0.0160698690,0.0143723629,0.0228013029,
